OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1,2019,NonResidential,Hotel,MAYFLOWER PARK HOTEL,405 OLIVE WAY,98101.0,1.0,DOWNTOWN,47.6122,-122.33799,1927,12,,88434,0,,62.0,83.1,83.3,167.6,167.6,7363218,7351864,2159078,3871996,1134817,13208,1320791,208.8,2.4
2,2019,NonResidential,Hotel,PARAMOUNT HOTEL,724 PINE ST,98101.0,1.0,DOWNTOWN,47.61317,-122.33393,1996,11,,103566,15064,,70.0,90.5,90.9,153.3,153.7,8040648,8006404,0,2946902,863688,50595,5059502,286.9,3.2
3,2019,NonResidential,Hotel,WESTIN HOTEL (Parent Building),1900 5TH AVE,98101.0,1.0,DOWNTOWN,47.61367,-122.33822,1969,41,,956110,196718,,64.0,90.0,90.4,201.1,201.5,68355568,68103264,22601024,44075841,12917890,14264,1426400,1549.0,2.0
5,2019,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,1.0,DOWNTOWN,47.61412,-122.33664,1926,10,,61320,0,,58.0,103.0,103.5,176.3,177.5,6346838,6319004,2104444,2201145,645119,20134,2013415,232.4,3.8
8,2019,NonResidential,Hotel,WARWICK SEATTLE HOTEL,401 LENORA ST,98121.0,1.0,DOWNTOWN,47.61375,-122.34047,1980,18,,175580,62000,,63.0,128.6,128.6,212.2,212.2,15875107,15875107,0,5444815,1595784,104303,10430292,587.5,5.2
9,2019,Nonresidential COS,Police Station,WEST PRECINCT (SEATTLE POLICE),810 VIRGINIA ST,98101.0,1.0,DOWNTOWN,47.61623,-122.33657,1999,2,,97288,37198,,,252.1,254.4,515.0,516.0,12913752,12796442,0,7257396,2127021,55390,5539047,338.9,5.6
10,2019,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,1619 9TH AVE,98101.0,7.0,DOWNTOWN,47.6139,-122.33283,1926,11,,83008,0,,59.0,69.7,69.5,123.6,122.2,5653567,5671968,0,2341587,686280,33304,3330381,191.3,2.3
11,2019,NonResidential,Other - Entertainment/Public Assembly,PARAMOUNT THEATER,901 PINE ST,98101.0,1.0,DOWNTOWN,47.61327,-122.33136,1926,8,,102761,0,,,71.4,71.6,151.1,151.2,7352968,7338866,2605097,4239898,1242643,4939,493872,190.9,1.9
12,2019,NonResidential,Hotel,COURTYARD BY MARRIOTT - PIONEER SQ,612 2ND AVE,98104.0,7.0,DOWNTOWN,47.60294,-122.33263,1904,15,,163984,0,,69.0,87.4,88.2,158.9,160.0,14469527,14329436,0,6295437,1845087,80340,8033999,465.5,2.8
13,2019,Multifamily MR (5-9),Multifamily Housing,LYON BUILDING,607 3RD AVE,98104.0,1.0,DOWNTOWN,47.60284,-122.33184,1910,6,,63712,1496,,23.0,81.7,83.0,157.2,158.7,5088576,5005885,1247583,2391947,701040,13664,1366355,153.6,2.5
15,2019,NonResidential,Hotel,HOTEL MONACO,1101 4TH AVE,98101.0,1.0,DOWNTOWN,47.60695,-122.33414,1969,11,,153163,19279,,12.0,124.0,123.3,240.5,238.8,19070178,19185970,5715338,9254531,2712348,42161,4216100,584.8,4.4
16,2019,NonResidential,Hotel,W SEATTLE HOTEL,1112 4TH AVE,98101.0,1.0,DOWNTOWN,47.60738,-122.33362,1998,25,,333176,61161,,36.0,94.4,94.4,212.2,212.2,27579412,27573276,6145088,18339288,5374938,30889,3088900,603.8,2.2
17,2019,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,400 SPRING ST,98104.0,1.0,DOWNTOWN,47.60699,-122.33346,1928,9,,65009,0,,71.0,67.2,67.3,107.4,107.6,4372398,4366152,1039214,1277690,374470,20492,2049248,172.0,2.6
18,2019,NonResidential,Hotel,CROWNE PLAZA,1113 6TH AVE,98101.0,1.0,DOWNTOWN,47.60809,-122.33212,1980,33,,353111,57600,,72.0,77.7,77.7,161.0,161.0,22964854,22964854,0,13414926,3931690,95499,9549927,589.9,2.0
19,2019,NonResidential,Hotel,HOTEL VINTAGE PARK,1100 5TH AVE,98101.0,1.0,DOWNTOWN,47.60755,-122.33244,1922,11,,92190,25200,,25.0,123.1,123.6,210.4,210.5,8327206,8293236,3512610,2820625,826678,19600,1960000,308.2,4.6
21,2019,Nonresidential COS,Library,SEATTLE CENTRAL LIBRARY,1000 4TH AVE,98104.0,1.0,DOWNTOWN,47.60649,-122.33297,2004,11,,412000,57000,,,43.4,43.1,118.4,117.5,15767846,15869671,694278,15175392,4447653,0,0,130.5,0.4
22,2019,NonResidential,Fitness Center/Health Club/Gym,DOWNTOWN SEATTLE YMCA,909 4TH AVE,98104.0,7.0,DOWNTOWN,47.60546,-122.33279,1930,6,,103911,0,,,114.8,115.5,218.7,219.6,12004540,11931781,5452715,5352486,1568724,11266,1126579,382.7,3.7
23,2019,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,515 MADISON ST,98104.0,7.0,DOWNTOWN,47.60681,-122.33078,1983,28,,416281,85000,,35.0,97.9,97.4,206.5,205.1,33931112,34115308,0,20629535,6046171,134858,13485773,843.4,2.5
24,2019,NonResidential,Mixed Use Property,RAINIER CLUB (HISTORICAL LANDMARK),810 4TH AVE,98104.0,1.0,DOWNTOWN,47.60515,-122.33159,1907,5,,57452,0,,,138.2,139.2,265.6,266.4,8000044,7938821,1813328,3798900,1113394,23266,2326592,243.4,4.2
25,2019,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,700 3RD AVE,98104.0,7.0,DOWNTOWN,47.60376,-122.33194,1916,10,,104352,0,,61.0,83.1,83.1,184.0,184.0,8669218,8669218,2507176,5553235,1627560,6088,608807,199.9,1.9
26,2019,NonResidential,Courthouse,KING COUNTY COURTHOUSE,516 3RD AVE,98104.0,1.0,DOWNTOWN,47.60265,-122.33051,1916,10,,540360,0,,60.0,87.5,88.0,168.8,169.1,47276056,46991664,0,23620966,6922909,233707,23370698,1386.8,2.6
27,2019,NonResidential,Prison/Incarceration,KING COUNTY CORRECTIONAL FACILITY,500 5TH AVE,98104.0,1.0,DOWNTOWN,47.60378,-122.32842,1985,19,,385274,0,,,147.0,146.2,247.3,245.6,49615032,49888196,0,18009795,5278369,318784,31878400,1804.1,4.7
28,2019,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),5101 S GRAHAM ST,98118.0,2.0,SOUTHEAST,47.54576,-122.26853,1961,2,,56228,0,,91.0,28.1,28.7,53.8,54.6,1688757,1653253,0,819208,240096,8340,834045,49.3,0.9
29,2019,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,1.0,NORTHEAST,47.65958,-122.31738,2001,6,,88592,30586,,96.0,49.6,49.6,106.7,106.7,3360246,3360246,0,2114849,619827,12454,1245397,79.2,1.4
30,2019,NonResidential,College/University,CORNISH (Main Campus Center),1000 LENORA ST,98121.0,7.0,DOWNTOWN,47.61816,-122.33629,1928,7,,126593,0,,,79.4,80.5,157.8,159.0,10068496,9929130,0,5313794,1557384,46153,4615337,277.9,2.2
32,2019,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,1011 PIKE ST,98101.0,1.0,EAST,47.61301,-122.32929,1991,8,,158676,30301,,74.0,71.3,71.0,146.1,145.3,10843903,10889710,0,6215900,1821776,46738,4673809,286.5,2.2
33,2019,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,1800 YALE AVE,98101.0,7.0,DOWNTOWN,47.61784,-122.32966,2001,10,,171866,38281,,75.0,75.8,75.6,150.5,149.6,9740220,9764960,0,5225161,1531407,45398,4539798,273.3,2.0
34,2019,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),300 20TH AVE E,98112.0,3.0,SHARED: CENTRAL &amp; EAST,47.62266,-122.30547,1955,1,,126351,0,,59.0,39.8,40.7,66.1,67.3,5140296,5023781,0,1758078,515263,32657,3265703,184.3,1.5
35,2019,NonResidential,Hotel,HOTEL FIVE,2200 5TH AVE,98121.0,1.0,DOWNTOWN,47.61558,-122.34186,1978,5,,68410,16200,,59.0,85.2,84.7,172.5,171.3,4424152,4446340,0,2477910,726234,19684,1968430,119.8,2.3
36,2019,SPS-District K-12,K-12 School,JANE ADDAMS MIDDLE (SPS-DISTRICT),11031 34TH AVE NE,98125.0,1.0,NORTH,47.70994,-122.29301,1949,2,,160645,0,,71.0,41.0,42.0,60.0,61.0,6975741,6809065,0,1603625,469996,52054,5205440,286.3,1.8
37,2019,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),201 GARFIELD ST,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,2,,51582,0,,70.0,27.2,27.6,76.0,77.1,1519855,1497974,0,1497974,439031,0,0,9.2,0.2
38,2019,NonResidential,Office,GOOD SHEPHERD CENTER,4649 SUNNYSIDE AVE N,98103.0,1.0,LAKE UNION,47.6641,-122.33118,1906,3,,87262,0,,,56.1,57.5,83.5,85.0,4508516,4396490,0,1103844,323518,32926,3292646,181.7,2.1
40,2019,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,5036 25TH AVE NE,98105.0,4.0,NORTHEAST,47.66583,-122.29965,1994,4,,81871,0,,32.0,74.2,74.3,143.5,143.2,6082608,6072974,0,3069242,899544,30037,3003732,178.4,2.2
41,2019,NonResidential,Self-Storage Facility,2746 NE 45TH ST - PUBLIC STORAGE,2746 NE 45TH ST,98105.0,1.0,NORTHEAST,47.66172,-122.29598,1955,2,,26225,0,,,6.9,6.9,17.9,18.0,316158,314906,0,278006,81479,369,36900,3.7,0.1
43,2019,Campus,Mixed Use Property,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,1135 S WEBSTER ST,98108.0,1.0,GREATER DUWAMISH,47.53493,-122.31788,1992,3,,2026324,0,,,276.8,279.5,432.9,435.7,554601152,549317632,0,161311239,47277620,3880064,388006400,21601.4,10.7
50,2019,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),4017 26TH AVE W,98199.0,7.0,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,2,,54986,0,,68.0,34.2,35.0,74.8,76.3,1923040,1881906,0,1222646,358337,6593,659259,42.6,0.8
